fec_medida,codigo,evapor_diaria_m3,desague_diario_m3,altura_diaria_m,superf_diaria_m2,aport_diaria_m3,volumen_diario_m3
2015-03-03,EB-009,63458.0,129600.0,74.0,14422298.0,766371.0,331324484.0
2015-03-03,EB-010,9099.0,1603584.0,30.0,2394356.0,1564998.0,21891449.0
2015-03-04,EB-004,0.0,1555200.0,32.0,2517458.0,1327851.0,23520661.0
2015-03-04,EB-006,26855.0,604800.0,57.0,6393937.0,695265.0,129950116.0
2015-03-04,EB-009,101045.0,216000.0,74.0,14435012.0,747030.0,331754469.0
2015-03-04,EB-010,15547.0,1603584.0,30.0,2391822.0,1571447.0,21843765.0
2015-03-05,EB-004,0.0,1631232.0,32.0,2507748.0,1409144.0,23298573.0
2015-03-05,EB-006,17913.0,686880.0,57.0,6397342.0,832013.0,130077336.0
2015-03-05,EB-009,54917.0,164160.0,74.0,14451964.0,792390.0,332327782.0
2015-03-05,EB-010,7638.0,1728000.0,30.0,2386754.0,1640269.0,21748396.0
2015-03-06,EB-004,0.0,1605312.0,32.0,2496960.0,1358549.0,23051810.0
2015-03-06,EB-006,19202.0,665280.0,57.0,6400747.0,811702.0,130204556.0
2015-03-06,EB-009,21703.0,138240.0,74.0,14468916.0,733256.0,332901095.0
2015-03-06,EB-010,9289.0,1702080.0,29.0,2381687.0,1616000.0,21653027.0
2015-03-07,EB-004,0.0,1641600.0,32.0,2506670.0,1863687.0,23273897.0
2015-03-07,EB-006,24362.0,570240.0,57.0,6410961.0,976261.0,130586215.0
2015-03-07,EB-009,75327.0,138240.0,74.0,14485868.0,786880.0,333474408.0
2015-03-07,EB-010,10463.0,1714176.0,29.0,2377886.0,1653112.0,21581500.0
2015-03-08,EB-004,0.0,1615680.0,32.0,2526901.0,2089793.0,23748010.0
2015-03-08,EB-006,16027.0,302400.0,57.0,6410961.0,318427.0,130586215.0
2015-03-08,EB-009,5218.0,138240.0,74.0,14494344.0,477077.0,333761065.0
2015-03-08,EB-010,6403.0,1736640.0,29.0,2371551.0,1623832.0,21462289.0
2015-03-09,EB-004,0.0,1654560.0,32.0,2546385.0,2143407.0,24236857.0
2015-03-09,EB-006,1731.0,475200.0,57.0,6410961.0,492510.0,130586215.0
2015-03-09,EB-009,44972.0,138240.0,74.0,14507058.0,613196.0,334191049.0
2015-03-09,EB-010,734.0,1728000.0,29.0,2367751.0,1663814.0,21390763.0
2015-03-10,EB-004,0.0,1607040.0,32.0,2563819.0,2044429.0,24674246.0
2015-03-10,EB-006,19879.0,648000.0,57.0,6412664.0,731489.0,130649825.0
2015-03-10,EB-009,58096.0,129600.0,74.0,14524010.0,761010.0,334764363.0
2015-03-10,EB-010,8265.0,1728000.0,29.0,2361416.0,1617054.0,21271552.0
2015-03-11,EB-004,0.0,1319760.0,33.0,2593559.0,2065895.0,25420381.0
2015-03-11,EB-006,24362.0,691200.0,57.0,6410961.0,651952.0,130586215.0
2015-03-11,EB-009,94461.0,518400.0,74.0,14532486.0,899517.0,335051019.0
2015-03-11,EB-010,10626.0,1321920.0,29.0,2361416.0,1332546.0,21271552.0
2015-03-12,EB-004,0.0,1209600.0,33.0,2626467.0,2035017.0,26245798.0
2015-03-12,EB-006,27574.0,691200.0,57.0,6412664.0,782384.0,130649825.0
2015-03-12,EB-009,100333.0,518400.0,74.0,14540962.0,905390.0,335337676.0
2015-03-12,EB-010,13231.0,1188000.0,29.0,2362683.0,1225073.0,21295394.0
2015-03-13,EB-004,0.0,1252800.0,33.0,2657524.0,2029331.0,27022329.0
2015-03-13,EB-006,1539.0,578880.0,57.0,6412664.0,594270.0,130649825.0
2015-03-13,EB-009,5671.0,596160.0,74.0,14540962.0,652870.0,335337676.0
2015-03-13,EB-010,8278.0,1206144.0,29.0,2365217.0,1262106.0,21343078.0
2015-03-14,EB-004,0.0,1252800.0,33.0,2656453.0,1226023.0,26995552.0
2015-03-14,EB-006,20515.0,639360.0,57.0,6410961.0,596265.0,130586215.0
2015-03-14,EB-009,6109.0,544320.0,74.0,14545200.0,748738.0,335481004.0
2015-03-14,EB-010,8046.0,1230336.0,29.0,2366484.0,1262225.0,21366921.0
2015-03-15,EB-004,0.0,1252800.0,33.0,2652169.0,1145692.0,26888444.0
2015-03-15,EB-006,17951.0,648000.0,57.0,6410961.0,665951.0,130586215.0
2015-03-15,EB-009,58198.0,544320.0,74.0,14549437.0,750084.0,335628570.0
2015-03-15,EB-010,734.0,1230336.0,29.0,2367751.0,1261518.0,21390763.0
2015-03-16,EB-004,0.0,1252800.0,33.0,2648957.0,1172470.0,26808114.0
2015-03-16,EB-006,24368.0,648000.0,57.0,6412664.0,735978.0,130649825.0
2015-03-16,EB-009,56776.0,432000.0,74.0,14557911.0,783908.0,335923702.0
2015-03-16,EB-010,9476.0,1230336.0,29.0,2369018.0,1263654.0,21414605.0
2015-03-17,EB-004,0.0,1252800.0,33.0,2646815.0,1199246.0,26754560.0
2015-03-17,EB-006,28872.0,626400.0,57.0,6416068.0,782492.0,130777045.0
2015-03-17,EB-009,46599.0,518400.0,74.0,14562148.0,712565.0,336071268.0
2015-03-17,EB-010,5455.0,1205280.0,29.0,2371551.0,1258419.0,21462289.0
2015-03-18,EB-004,0.0,1252800.0,33.0,2648957.0,1306354.0,26808114.0
2015-03-18,EB-006,0.0,622080.0,57.0,6417771.0,685690.0,130840655.0
2015-03-18,EB-009,0.0,518400.0,74.0,14566385.0,665965.0,336218833.0
2015-03-18,EB-010,7130.0,1183680.0,29.0,2375352.0,1255920.0,21533816.0
2015-03-19,EB-004,0.0,1252800.0,33.0,2648957.0,1252800.0,26808114.0
