"Fec. medida","Código","Evapor. diaria (m³)","Desagüe diario (m³)","Altura diaria (m)","Superf. diaria (m2)","Aport. diaria (m³)","Volumen diario (m³)"
"14/03/2015","EB-010","8.046","1.230.336","29","2.366.484","1.262.225","21.366.921"
"15/03/2015","EB-004","0","1.252.800","33","2.652.169","1.145.692","26.888.444"
"15/03/2015","EB-006","17.951","648.000","57","6.410.961","665.951","130.586.215"
"15/03/2015","EB-009","58.198","544.320","74","14.549.437","750.084","335.628.570"
"15/03/2015","EB-010","7.340","1.230.336","29","2.367.751","1.261.518","21.390.763"
"16/03/2015","EB-004","0","1.252.800","33","2.648.957","1.172.470","26.808.114"
"16/03/2015","EB-006","24.368","648.000","57","6.412.664","735.978","130.649.825"
"16/03/2015","EB-009","56.776","432.000","74","14.557.911","783.908","335.923.702"
"16/03/2015","EB-010","9.476","1.230.336","29","2.369.018","1.263.654","21.414.605"
"17/03/2015","EB-004","0","1.252.800","33","2.646.815","1.199.246","26.754.560"
"17/03/2015","EB-006","28.872","626.400","57","6.416.068","782.492","130.777.045"
"17/03/2015","EB-009","46.599","518.400","74","14.562.148","712.565","336.071.268"
"17/03/2015","EB-010","5.455","1.205.280","29","2.371.551","1.258.419","21.462.289"
"18/03/2015","EB-004","0","1.252.800","33","2.648.957","1.306.354","26.808.114"
"18/03/2015","EB-006","0","622.080","57","6.417.771","685.690","130.840.655"
"18/03/2015","EB-009","0","518.400","74","14.566.385","665.965","336.218.833"
"18/03/2015","EB-010","713","1.183.680","29","2.375.352","1.255.920","21.533.816"
"19/03/2015","EB-004","0","1.252.800","33","2.648.957","1.252.800","26.808.114"
"19/03/2015","EB-006","3.211","691.200","58","6.421.176","821.630","130.967.874"
"19/03/2015","EB-009","29.150","518.400","74","14.574.859","842.682","336.513.965"
"19/03/2015","EB-010","5.948","1.183.680","29","2.379.153","1.261.155","21.605.343"
"20/03/2015","EB-004","0","1.244.160","33","2.654.311","1.378.044","26.941.998"
"20/03/2015","EB-006","0","691.200","58","6.469.489","2.497.188","132.773.862"
"20/03/2015","EB-009","26.250","518.400","74","14.583.333","839.782","336.809.097"
"20/03/2015","EB-010","5.004","1.175.040","29","2.382.954","1.251.570","21.676.869"
"21/03/2015","EB-004","0","1.235.520","33","2.672.517","1.690.728","27.397.206"
"21/03/2015","EB-006","6.527","691.200","58","6.527.090","2.851.657","134.927.792"
"21/03/2015","EB-009","18.980","518.400","74","14.600.281","1.127.643","337.399.360"
